Gender,Months,Severely Stunted,Stunted Start     ,Stunted End,Normal Start,Normal End,Tall
Male,36,84.9,85,88.6,88.7,103.5,103.6
Male,37,85.4,85.5,89.1,89.2,104.2,104.3
Male,38,85.9,86,89.7,89.8,105,105.1
Male,39,86.4,86.5,90.2,90.3,105.7,105.8
Male,40,86.9,87,90.8,90.9,106.4,106.5
Male,41,87.4,87.5,91.3,91.4,107.1,107.2
Male,42,87.9,88,91.8,91.9,107.8,107.9
Male,43,88.3,88.4,92.3,92.4,108.5,108.6
Male,44,88.8,88.9,92.9,93,109.1,109.2
Male,45,89.3,89.4,93.4,93.5,109.8,109.9
Male,46,89.7,89.8,93.9,94,110.4,110.5
Male,47,90.2,90.3,94.3,94.4,111.1,111.2
Male,48,90.6,90.7,94.8,94.9,111.7,111.8
Male,49,91.1,91.2,95.3,95.4,112.4,112.5
Male,50,91.5,91.6,95.8,95.9,113,113.1
Male,51,92,92.1,96.3,96.4,113.6,113.7
Male,52,92.4,92.5,96.8,96.9,114.2,114.3
Male,53,92.9,93,97.3,97.4,114.9,115
Male,54,93.3,93.4,97.7,97.8,115.5,115.6
Male,55,93.8,93.9,98.2,98.3,116.1,116.2
Male,56,94.2,94.3,98.7,98.8,116.7,116.8
Male,57,94.6,94.7,99.2,99.3,117.4,117.5
Male,58,95.1,95.2,99.6,99.7,118,118.1
Male,59,95.5,95.6,100.1,100.2,118.6,118.7
Male,60,96,96.1,100.6,100.7,119.2,119.3
Male,61,96.4,96.5,101,101.1,119.4,119.5
Male,62,96.8,96.9,101.5,101.6,120,120.1
Male,63,97.3,97.4,101.9,102,120.6,120.7
Male,64,97.7,97.8,102.4,102.5,121.2,121.3
Male,65,98.1,98.2,102.9,103,121.8,121.9
Male,66,98.6,98.7,103.3,103.4,122.4,122.5
Male,67,99,99.1,103.8,103.9,123,123.1
Male,68,99.4,99.5,104.2,104.3,123.6,123.7
Male,69,99.8,99.9,104.7,104.8,124.1,124.2
Male,70,100.3,100.4,105.1,105.2,124.7,124.8
Male,71,100.7,100.8,105.6,105.7,125.2,125.3
Male,72,101.1,101.2,106,106.1,125.8,125.9
Male,73,101.5,101.6,106.4,106.5,126.4,126.5
Male,74,101.9,102,106.9,107,126.9,127
Male,75,102.3,102.4,107.3,107.4,127.5,127.6
Male,76,102.7,102.8,107.7,107.8,128,128.1
Male,77,103.1,103.2,108.1,108.2,128.5,128.6
Male,78,103.5,103.6,108.6,108.7,129.1,129.2
Male,79,103.8,103.9,109,109.1,129.6,129.7
Male,80,104.2,104.3,109.4,109.5,130.2,130.3
Male,81,104.6,104.7,109.8,109.9,130.7,130.8
Male,82,105,105.1,110.2,110.3,131.2,131.3
Male,83,105.4,105.5,110.7,110.8,131.8,131.9
Male,84,105.8,105.9,111.1,111.2,132.3,132.4
Male,85,106.2,106.3,111.5,111.6,132.8,132.9
Male,86,106.5,106.6,111.9,112,133.4,133.5
Male,87,106.9,107,112.3,112.4,133.9,134
Male,88,107.3,107.4,112.7,112.8,134.4,134.5
Male,89,107.7,107.8,113.1,113.2,134.9,135
Male,90,108,108.1,113.5,113.6,135.5,135.6
Male,91,108.4,108.5,113.9,114,136,136.1
Male,92,108.8,108.9,114.3,114.4,136.5,136.6
Male,93,109.1,109.2,114.7,114.8,137,137.1
Male,94,109.5,109.6,115.1,115.2,137.5,137.6
Male,95,109.9,110,115.5,115.6,138.1,138.2
Male,96,110.2,110.3,115.9,116,138.6,138.7
Male,97,110.6,110.7,116.3,116.4,139.1,139.2
Male,98,110.9,111,116.6,116.7,139.6,139.7
Male,99,111.3,111.4,117,117.1,140.1,140.2
Male,100,111.6,111.7,117.4,117.5,140.6,140.7
Male,101,112,112.1,117.8,117.9,141.1,141.2
Male,102,112.3,112.4,118.2,118.3,141.6,141.7
Male,103,112.7,112.8,118.6,118.7,142.1,142.2
Male,104,113,113.1,118.9,119,142.6,142.7
Male,105,113.4,113.5,119.3,119.4,143.1,143.2
Male,106,113.7,113.8,119.7,119.8,143.6,143.7
Male,107,114.1,114.2,120.1,120.2,144.1,144.2
Male,108,114.4,114.5,120.4,120.5,144.6,144.7
Male,109,114.8,114.9,120.8,120.9,145.1,145.2
Male,110,115.1,115.2,121.2,121.3,145.6,145.7
Male,111,115.5,115.6,121.6,121.7,146.1,146.2
Male,112,115.8,115.9,121.9,122,146.6,146.7
Male,113,116.2,116.3,122.3,122.4,147.1,147.2
Male,114,116.5,116.6,122.7,122.8,147.6,147.7
Male,115,116.8,116.9,123.1,123.2,148.1,148.2
Male,116,117.2,117.3,123.4,123.5,148.6,148.7
Male,117,117.5,117.6,123.8,123.9,149.1,149.2
Male,118,117.9,118,124.2,124.3,149.5,149.6
Male,119,118.2,118.3,124.6,124.7,150,150.1
Male,120,118.6,118.7,124.9,125,150.5,150.6
Male,121,118.9,119,125.3,125.4,151,151.1
Male,122,119.2,119.3,125.7,125.8,151.5,151.6
Male,123,119.6,119.7,126.1,126.2,152,152.1
Male,124,119.9,120,126.4,126.5,152.5,152.6
Male,125,120.3,120.4,126.8,126.9,153,153.1
Male,126,120.6,120.7,127.2,127.3,153.5,153.6
Male,127,121,121.1,127.6,127.7,154,154.1
Male,128,121.3,121.4,128,128.1,154.5,154.6
Male,129,121.7,121.8,128.4,128.5,155,155.1
Male,130,122.1,122.2,128.7,128.8,155.5,155.6
Male,131,122.4,122.5,129.1,129.2,156.1,156.2
Male,132,122.8,122.9,129.6,129.7,156.6,156.7
Male,133,123.2,123.3,130,130.1,157.1,157.2
Male,134,123.6,123.7,130.4,130.5,157.6,157.7
Male,135,124,124.1,130.8,130.9,158.2,158.3
Male,136,124.4,124.5,131.2,131.3,158.7,158.8
Male,137,124.8,124.9,131.6,131.7,159.3,159.4
Male,138,125.2,125.3,132.1,132.2,159.8,159.9
Male,139,125.6,125.7,132.5,132.6,160.4,160.5
Male,140,126,126.1,133,133.1,160.9,161
Male,141,126.4,126.5,133.4,133.5,161.5,161.6
Male,142,126.8,126.9,133.9,134,162.1,162.2
Male,143,127.3,127.4,134.3,134.4,162.7,162.8
Male,144,127.7,127.8,134.8,134.9,163.3,163.4
Male,145,128.2,128.3,135.3,135.4,163.9,164
Male,146,128.6,128.7,135.8,135.9,164.5,164.6
Male,147,129.1,129.2,136.3,136.4,165.1,165.2
Male,148,129.6,129.7,136.8,136.9,165.7,165.8
Male,149,130.1,130.2,137.3,137.4,166.3,166.4
Male,150,130.6,130.7,137.8,137.9,167,167.1
Male,151,131.1,131.2,138.4,138.5,167.6,167.7
Male,152,131.6,131.7,138.9,139,168.3,168.4
Male,153,132.1,132.2,139.4,139.5,168.9,169
Male,154,132.6,132.7,140,140.1,169.6,169.7
Male,155,133.1,133.2,140.5,140.6,170.2,170.3
Male,156,133.7,133.8,141.1,141.2,170.9,171
Male,157,134.2,134.3,141.6,141.7,171.6,171.7
Male,158,134.7,134.8,142.2,142.3,172.2,172.3
Male,159,135.3,135.4,142.8,142.9,172.9,173
Male,160,135.8,135.9,143.3,143.4,173.5,173.6
Male,161,136.3,136.4,143.9,144,174.2,174.3
Male,162,136.9,137,144.4,144.5,174.8,174.9
Male,163,136.4,136.5,145,145.1,175.5,175.6
Male,164,137.9,138,145.6,145.7,176.1,176.2
Male,165,138.5,138.6,146.1,146.2,176.7,176.8
Male,166,139,139.1,146.6,146.7,177.4,177.5
Male,167,139.5,139.6,147.2,147.3,178,178.1
Male,168,140,140.1,147.7,147.8,178.6,178.7
Male,169,140.5,140.6,148.2,148.3,179.1,179.2
Male,170,141,141.1,148.7,148.8,179.7,179.8
Male,171,141.5,141.6,149.2,149.3,180.3,180.4
Male,172,142,142.1,149.7,149.8,180.8,180.9
Male,173,142.4,142.5,150.2,150.3,181.3,181.4
Male,174,142.9,143,150.7,150.8,181.8,181.9
Male,175,143.3,143.4,151.1,151.2,182.3,182.4
Male,176,143.8,143.9,151.6,151.7,182.8,182.9
Male,177,144.2,144.3,152,152.1,183.3,183.4
Male,178,144.6,144.7,152.4,152.5,183.7,183.8
Male,179,145,145.1,152.8,152.9,184.1,184.2
Male,180,145.4,145.5,153.3,153.4,184.6,184.7
Male,181,145.8,145.9,153.6,153.7,185,185.1
Male,182,146.2,146.3,154,154.1,185.4,185.5
Male,183,146.6,146.7,154.4,154.5,185.7,185.8
Male,184,147,147.1,154.8,154.9,186.1,186.2
Male,185,147.3,147.4,155.1,155.2,186.4,186.5
Male,186,147.6,147.7,155.4,155.5,186.8,186.9
Male,187,148,148.1,155.8,155.9,187.1,187.2
Male,188,148.3,148.4,156.1,156.2,187.4,187.5
Male,189,148.6,148.7,156.4,156.5,187.7,187.8
Male,190,148.9,149,156.7,156.8,187.9,188
Male,191,149.2,149.3,157,157.1,188.2,188.3
Male,192,149.5,149.6,157.3,157.4,188.4,188.5
Male,193,149.8,149.9,157.5,157.6,188.7,188.8
Male,194,150,150.1,157.8,157.9,188.9,189
Male,195,150.3,150.4,158,158.1,189.1,189.2
Male,196,150.5,150.6,158.3,158.4,189.3,189.4
Male,197,150.8,150.9,158.5,158.6,189.5,189.6
Male,198,151,151.1,158.7,158.8,189.7,189.8
Male,199,151.2,151.3,158.9,159,189.8,189.9
Male,200,151.4,151.5,159.1,159.2,190,190.1
Male,201,151.6,151.7,159.3,159.4,190.1,190.2
Male,202,151.8,151.9,159.5,159.6,190.2,190.3
Male,203,152,152.1,159.6,159.7,190.3,190.4
Male,204,152.1,152.2,159.8,159.9,190.4,190.5
Male,205,152.3,152.4,159.9,160,190.5,190.6
Male,206,152.4,152.5,160.1,160.2,190.6,190.7
Male,207,152.6,152.7,160.2,160.3,190.7,190.8
Male,208,152.7,152.8,160.3,160.4,190.8,190.9
Male,209,152.9,153,160.4,160.5,190.8,190.9
Male,210,153,153.1,160.5,160.6,190.9,191
Male,211,153.1,153.2,160.7,160.8,190.9,191
Male,212,153.2,153.3,160.8,160.9,191,191.1
Male,213,153.3,153.4,160.8,160.9,191,191.1
Male,214,153.4,153.5,160.9,161,191,191.1
Male,215,153.5,153.6,161,161.1,191.1,191.2
Male,216,153.6,153.7,161.1,161.2,191.1,191.2
Male,217,153.7,153.8,161.2,161.3,191.1,191.2
Male,218,153.8,153.9,161.3,161.4,191.1,191.2
Male,219,153.9,154,161.3,161.4,191.1,191.2
Male,220,154,154.1,161.4,161.5,191.1,191.2
Male,221,154.1,154.2,161.5,161.6,191.1,191.2
Male,222,154.1,154.2,161.5,161.6,191.1,191.2
Male,223,154.2,154.3,161.6,161.7,191.2,191.3
Male,224,154.3,154.4,161.6,161.7,191.2,191.3
Male,225,154.4,154.5,161.7,161.8,191.2,191.3
Male,226,154.4,154.5,161.7,161.8,191.1,191.2
Male,227,154.5,154.6,161.8,161.9,191.1,191.2
Male,228,154.5,154.6,161.8,161.9,191.1,191.2
Female,36,83.5,83.6,87.3,87.4,102.7,102.8
Female,37,84.1,84.2,87.9,88,103.4,103.5
Female,38,84.6,84.7,88.5,88.6,104.2,104.3
Female,39,85.2,85.3,89.1,89.2,105,105.1
Female,40,85.7,85.8,89.7,89.8,105.7,105.8
Female,41,86.2,86.3,90.3,90.4,106.4,106.5
Female,42,86.7,86.8,90.8,90.9,107.2,107.3
Female,43,87.3,87.4,91.4,91.5,107.9,108
Female,44,87.8,87.9,91.9,92,108.6,108.7
Female,45,88.3,88.4,92.4,92.5,109.3,109.4
Female,46,88.8,88.9,93,93.1,110,110.1
Female,47,89.2,89.3,93.5,93.6,110.7,110.8
Female,48,89.7,89.8,94,94.1,111.3,111.4
Female,49,90.2,90.3,94.5,94.6,112,112.1
Female,50,90.6,90.7,95,95.1,112.7,112.8
Female,51,91.1,91.2,95.5,95.6,113.3,113.4
Female,52,91.6,91.7,96,96.1,114,114.1
Female,53,92,92.1,96.5,96.6,114.6,114.7
Female,54,92.5,92.6,97,97.1,115.2,115.3
Female,55,92.9,93,97.5,97.6,115.9,116
Female,56,93.3,93.4,98,98.1,116.5,116.6
Female,57,93.8,93.9,98.4,98.5,117.1,117.2
Female,58,94.2,94.3,98.9,99,117.7,117.8
Female,59,94.6,94.7,99.4,99.5,118.3,118.4
Female,60,95.1,95.2,99.8,99.9,118.9,119
Female,61,95.2,95.3,100,100.1,119.1,119.2
Female,62,95.6,95.7,100.4,100.5,119.7,119.8
Female,63,96,96.1,100.9,101,120.3,120.4
Female,64,96.4,96.5,101.3,101.4,120.9,121
Female,65,96.9,97,101.8,101.9,121.5,121.6
Female,66,97.3,97.4,102.2,102.3,122,122.1
Female,67,97.7,97.8,102.6,102.7,122.6,122.7
Female,68,98.1,98.2,103.1,103.2,123.2,123.3
Female,69,98.5,98.6,103.5,103.6,123.7,123.8
Female,70,98.9,99,103.9,104,124.3,124.4
Female,71,99.3,99.4,104.4,104.5,124.8,124.9
Female,72,99.7,99.8,104.8,104.9,125.4,125.5
Female,73,100.1,100.2,105.2,105.3,125.9,126
Female,74,100.4,100.5,105.6,105.7,126.4,126.5
Female,75,100.8,100.9,106,106.1,127,127.1
Female,76,101.2,101.3,106.5,106.6,127.5,127.6
Female,77,101.6,101.7,106.9,107,128,128.1
Female,78,102,102.1,107.3,107.4,128.6,128.7
Female,79,102.4,102.5,107.7,107.8,129.1,129.2
Female,80,102.8,102.9,108.1,108.2,129.6,129.7
Female,81,103.1,103.2,108.5,108.6,130.2,130.3
Female,82,103.5,103.6,108.9,109,130.7,130.8
Female,83,103.9,104,109.4,109.5,131.2,131.3
Female,84,104.3,104.4,109.8,109.9,131.7,131.8
Female,85,104.7,104.8,110.2,110.3,132.3,132.4
Female,86,105.1,105.2,110.6,110.7,132.8,132.9
Female,87,105.5,105.6,111,111.1,133.3,133.4
Female,88,105.9,106,111.5,111.6,133.9,134
Female,89,106.3,106.4,111.9,112,134.4,134.5
Female,90,106.7,106.8,112.3,112.4,134.9,135
Female,91,107.1,107.2,112.7,112.8,135.5,135.6
Female,92,107.5,107.6,113.1,113.2,136,136.1
Female,93,107.9,108,113.6,113.7,136.5,136.6
Female,94,108.3,108.4,114,114.1,137.1,137.2
Female,95,108.7,108.8,114.4,114.5,137.6,137.7
Female,96,109.1,109.2,114.9,115,138.2,138.3
Female,97,109.5,109.6,115.3,115.4,138.7,138.8
Female,98,109.9,110,115.7,115.8,139.2,139.3
Female,99,110.3,110.4,116.2,116.3,139.8,139.9
Female,100,110.7,110.8,116.6,116.7,140.3,140.4
Female,101,111.1,111.2,117,117.1,140.9,141
Female,102,111.5,111.6,117.5,117.6,141.4,141.5
Female,103,111.9,112,117.9,118,142,142.1
Female,104,112.4,112.5,118.4,118.5,142.5,142.6
Female,105,112.8,112.9,118.8,118.9,143.1,143.2
Female,106,113.2,113.3,119.3,119.4,143.6,143.7
Female,107,113.6,113.7,119.7,119.8,144.2,144.3
Female,108,114.1,114.2,120.2,120.3,144.7,144.8
Female,109,114.5,114.6,120.6,120.7,145.3,145.4
Female,110,114.9,115,121.1,121.2,145.8,145.9
Female,111,115.4,115.5,121.5,121.6,146.4,146.5
Female,112,115.8,115.9,122,122.1,146.9,147
Female,113,116.2,116.3,122.5,122.6,147.5,147.6
Female,114,116.7,116.8,122.9,123,148.1,148.2
Female,115,117.1,117.2,123.4,123.5,148.6,148.7
Female,116,117.6,117.7,123.9,124,149.2,149.3
Female,117,118,118.1,124.3,124.4,149.7,149.8
Female,118,118.4,118.5,124.8,124.9,150.3,150.4
Female,119,118.9,119,125.3,125.4,150.9,151
Female,120,119.3,119.4,125.7,125.8,151.4,151.5
Female,121,119.8,119.9,126.2,126.3,152,152.1
Female,122,120.3,120.4,126.7,126.8,152.6,152.7
Female,123,120.7,120.8,127.2,127.3,153.1,153.2
Female,124,121.2,121.3,127.7,127.8,153.7,153.8
Female,125,121.6,121.7,128.1,128.2,154.3,154.4
Female,126,122.1,122.2,128.6,128.7,154.8,154.9
Female,127,122.6,122.7,129.1,129.2,155.4,155.5
Female,128,123.1,123.2,129.6,129.7,156,156.1
Female,129,123.5,123.6,130.1,130.2,156.6,156.7
Female,130,124,124.1,130.6,130.7,157.1,157.2
Female,131,124.5,124.6,131.1,131.2,157.7,157.8
Female,132,125,125.1,131.6,131.7,158.3,158.4
Female,133,125.4,125.5,132.1,132.2,158.9,159
Female,134,125.9,126,132.6,132.7,159.4,159.5
Female,135,126.4,126.5,133.1,133.2,160,160.1
Female,136,126.9,127,133.6,133.7,160.6,160.7
Female,137,127.3,127.4,134.1,134.2,161.1,161.2
Female,138,127.8,127.9,134.6,134.7,161.7,161.8
Female,139,128.3,128.4,135.1,135.2,162.2,162.3
Female,140,128.8,128.9,135.6,135.7,162.8,162.9
Female,141,129.2,129.3,136,136.1,163.3,163.4
Female,142,129.7,129.8,136.5,136.6,163.9,164
Female,143,130.2,130.3,137,137.1,164.4,164.5
Female,144,130.6,130.7,137.5,137.6,164.9,165
Female,145,131.1,131.2,137.9,138,165.4,165.5
Female,146,131.5,131.6,138.4,138.5,165.9,166
Female,147,131.9,132,138.8,138.9,166.4,166.5
Female,148,132.4,132.5,139.2,139.3,166.9,167
Female,149,132.8,132.9,139.7,139.8,167.4,167.5
Female,150,133.2,133.3,140.1,140.2,167.8,167.9
Female,151,133.6,133.7,140.5,140.6,168.3,168.4
Female,152,134,134.1,140.9,141,168.7,168.8
Female,153,134.4,134.5,141.3,141.4,169.1,169.2
Female,154,134.7,134.8,141.7,141.8,169.5,169.6
Female,155,135.1,135.2,142,142.1,169.9,170
Female,156,135.5,135.6,142.4,142.5,170.3,170.4
Female,157,135.8,135.9,142.7,142.8,170.6,170.7
Female,158,136.1,136.2,143.1,143.2,171,171.1
Female,159,136.4,136.5,143.4,143.5,171.3,171.4
Female,160,136.8,136.9,143.7,143.8,171.6,171.7
Female,161,137.1,137.2,144,144.1,171.9,172
Female,162,137.3,137.4,144.3,144.4,172.2,172.3
Female,163,137.6,137.7,144.6,144.7,172.5,172.6
Female,164,137.9,138,144.8,144.9,172.7,172.8
Female,165,138.1,138.2,145.1,145.2,173,173.1
Female,166,138.4,138.5,145.3,145.4,173.2,173.3
Female,167,138.6,138.7,145.6,145.7,173.5,173.6
Female,168,138.9,139,145.8,145.9,173.7,173.8
Female,169,139.1,139.2,146,146.1,173.9,174
Female,170,139.3,139.4,146.2,146.3,174.1,174.2
Female,171,139.5,139.6,146.4,146.5,174.2,174.3
Female,172,139.7,139.8,146.6,146.7,174.4,174.5
Female,173,139.9,140,146.8,146.9,174.6,174.7
Female,174,140,140.1,147,147.1,174.7,174.8
Female,175,140.2,140.3,147.1,147.2,174.9,175
Female,176,140.4,140.5,147.3,147.4,175,175.1
